SEASON_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,PTS,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PLUS_MINUS
22019,1610612746,LAC,LA Clippers,0021900719,2020-01-30,LAC vs. SAC,L,239,103,35,92,0.38,13,31,0.419,20,25,0.8,11,28,39,26,6,6,15,20,-21.0
22019,1610612746,LAC,LA Clippers,0021900689,2020-01-26,LAC @ ORL,W,240,112,37,79,0.468,13,30,0.433,25,29,0.862,12,41,53,20,2,7,17,26,15.0
22019,1610612746,LAC,LA Clippers,0021900673,2020-01-24,LAC @ MIA,W,240,122,43,94,0.457,16,35,0.457,20,23,0.87,11,37,48,33,5,3,8,21,5.0
22019,1610612746,LAC,LA Clippers,0021900656,2020-01-22,LAC @ ATL,L,240,95,33,78,0.423,4,21,0.19,25,39,0.641,8,37,45,19,5,8,14,20,-7.0
22019,1610612746,LAC,LA Clippers,0021900653,2020-01-21,LAC @ DAL,W,241,110,36,97,0.371,12,38,0.316,26,33,0.788,20,37,57,19,9,3,10,21,3.0
22019,1610612746,LAC,LA Clippers,0021900626,2020-01-18,LAC @ NOP,W,241,133,46,93,0.495,10,31,0.323,31,39,0.795,10,26,36,22,12,2,12,29,3.0
22019,1610612746,LAC,LA Clippers,0021900618,2020-01-16,LAC vs. ORL,W,241,122,47,95,0.495,14,32,0.438,14,20,0.7,10,49,59,29,4,4,9,17,27.0
22019,1610612746,LAC,LA Clippers,0021900603,2020-01-14,LAC vs. CLE,W,242,128,49,94,0.521,15,38,0.395,15,21,0.714,14,39,53,29,7,8,11,12,25.0
22019,1610612746,LAC,LA Clippers,0021900589,2020-01-12,LAC @ DEN,L,240,104,38,84,0.452,8,33,0.242,20,26,0.769,10,32,42,21,8,5,14,26,-10.0
22019,1610612746,LAC,LA Clippers,0021900576,2020-01-10,LAC vs. GSW,W,241,109,41,84,0.488,11,39,0.282,16,22,0.727,9,45,54,27,5,7,19,24,9.0
22019,1610612746,LAC,LA Clippers,0021900534,2020-01-05,LAC vs. NYK,W,240,135,45,83,0.542,18,32,0.563,27,33,0.818,10,32,42,25,4,3,19,27,3.0
22019,1610612746,LAC,LA Clippers,0021900523,2020-01-04,LAC vs. MEM,L,238,114,45,101,0.446,7,30,0.233,17,22,0.773,14,35,49,20,3,1,13,22,-26.0
22019,1610612746,LAC,LA Clippers,0021900516,2020-01-02,LAC vs. DET,W,241,126,50,92,0.543,11,28,0.393,15,21,0.714,11,40,51,29,6,11,15,22,14.0
22019,1610612746,LAC,LA Clippers,0021900499,2019-12-31,LAC @ SAC,W,240,105,36,88,0.409,12,36,0.333,21,22,0.955,14,37,51,21,9,2,11,17,18.0
22019,1610612746,LAC,LA Clippers,0021900485,2019-12-28,LAC vs. UTA,L,242,107,35,95,0.368,12,40,0.3,25,27,0.926,16,30,46,22,9,4,7,18,-13.0
22019,1610612746,LAC,LA Clippers,0021900458,2019-12-25,LAC @ LAL,W,240,111,39,85,0.459,9,25,0.36,24,32,0.75,13,37,50,24,6,6,16,17,5.0
22019,1610612746,LAC,LA Clippers,0021900442,2019-12-22,LAC @ OKC,L,239,112,40,86,0.465,11,27,0.407,21,24,0.875,10,32,42,22,7,2,15,23,-6.0
22019,1610612746,LAC,LA Clippers,0021900436,2019-12-21,LAC @ SAS,W,240,134,54,99,0.545,12,36,0.333,14,19,0.737,13,30,43,32,11,2,11,19,25.0
22019,1610612746,LAC,LA Clippers,0021900419,2019-12-19,LAC vs. HOU,L,240,117,43,86,0.5,16,37,0.432,15,19,0.789,7,31,38,23,10,7,18,24,-5.0
22019,1610612746,LAC,LA Clippers,0021900406,2019-12-17,LAC vs. PHX,W,241,120,45,89,0.506,14,32,0.438,16,22,0.727,6,38,44,23,14,4,15,15,21.0
22019,1610612746,LAC,LA Clippers,0021900382,2019-12-14,LAC @ CHI,L,240,106,35,80,0.438,10,22,0.455,26,36,0.722,8,32,40,20,9,4,15,17,-3.0
22019,1610612746,LAC,LA Clippers,0021900377,2019-12-13,LAC @ MIN,W,239,124,39,79,0.494,11,25,0.44,35,39,0.897,8,37,45,16,5,2,19,30,7.0
22019,1610612746,LAC,LA Clippers,0021900359,2019-12-11,LAC @ TOR,W,238,112,38,86,0.442,12,40,0.3,24,27,0.889,12,38,50,29,8,5,18,21,20.0
